"Name","City","State","Access","Count","Latitude","Longitude","Wall","Proshop","Indoor","Lights","Surface"
"Park View Terrace","San Francisco - Oakland - San Jose","CA","Private",2,37.5309569,-122.3311865,"No","No","No","Yes","Hard"
"Montego Hills","San Francisco - Oakland - San Jose","CA","Private",1,37.2203673,-121.8923342,"No","No","No","No","Hard"
"Mesa Palms","San Diego","CA","Private",1,32.8040855,-117.155596,"No","No","No","Yes","Hard"
"Fisherman's Landing","Miami-Fort Lauderdale","FL","Private",2,26.2720785,-80.1914406,"Yes","No","No","Yes","Hard"
"Winters High School","Sacramento-Yolo","CA","Public",2,38.5240041,-121.9743776,"No","No","No","Yes","Hard"
"Pecan Knoll","Dallas - Fort Worth","TX","Private",1,32.8824704,-96.6197562,"No","No","No","No","Hard"
"Kashmere High School","Houston - Galveston - Brazoria","TX","Public",1,29.8227835,-95.3144217,"No","No","No","No","Hard"
"New Colony Village","Baltimore","MD","Private",1,39.1800775,-76.7815912,"No","No","No","No","Hard"
"Huntington Lakes","West Palm Beach - Boca Raton","FL","Private",5,26.4648777,-80.156883,"No","No","No","Yes","Hard"
"Mid Florida Lakes Yacht Club","Orlando","FL","Private",1,28.8730979,-81.7733806,"No","No","No","Yes","Hard"
"Castle Rock","San Antonio","TX","Private",1,29.5473359,-98.5136318,"No","No","No","Yes","Hard"
"Thomas Jefferson High School","Denver","CO","Public",4,39.6459485,-104.91924,"No","No","No","No","Hard"
"The Hamptons at East Cobb","Atlanta","GA","Private",2,33.9526783,-84.5087028,"No","No","No","Yes","Hard"
"Kirkstone","Atlanta","GA","Private",2,34.055975,-83.9458358,"No","No","No","No","Hard"
"Lakeside At Ansley","Atlanta","GA","Private",3,34.0925532,-84.4042253,"No","No","No","Yes","Hard"
"Mountain View High School","Los Angeles","CA","Public",6,34.0525705,-118.0110705,"No","No","No","Yes","Hard"
"Overlook At Blue Ravine","Sacramento-Yolo","CA","Private",1,38.66622,-121.1544478,"No","No","No","Yes","Hard"
"Rancho Bernardo High School","San Diego","CA","Public",10,32.9955718,-117.063607,"Yes","No","No","No","Hard"
"Risco Park","Miami-Fort Lauderdale","FL","Public",2,25.9450116,-80.2637208,"No","No","No","Yes","Hard"
"Dadeland Walk","Miami-Fort Lauderdale","FL","Private",4,25.6889593,-80.3237808,"Yes","No","No","No","Hard"
"CypressHead","Miami-Fort Lauderdale","FL","Private",6,26.3141513,-80.2272749,"No","No","No","Yes","Hard"
"Riverside Villas","Miami-Fort Lauderdale","FL","Private",1,26.2656326,-80.2371347,"No","No","No","No","Hard"
"Margate Estates","Miami-Fort Lauderdale","FL","Private",1,26.2185277,-80.1973736,"Yes","No","No","No","Hard"
"Sugarwood","Houston - Galveston - Brazoria","TX","Private",2,29.6025007,-95.6008816,"No","No","No","Yes","Hard"
"Woodgate Park","Minneapolis-St. Paul","MN","Public",2,44.9115217,-93.476046,"Yes","No","No","No","Hard"
"Champlin Park Senior School","Minneapolis-St. Paul","MN","Public",12,45.1501831,-93.356956,"No","No","No","No","Hard"
"Timberlake Village Apartments","Nashville","TN","Private",1,36.0491423,-86.6743183,"No","No","No","Yes","Hard"
"Arbor Clos","Atlanta","GA","Private",2,34.1115381,-84.0668035,"No","No","No","Yes","Hard"
"Lakeside At White Oak.","Atlanta","GA","Private",2,33.3959774,-84.7383106,"No","No","No","Yes","Hard"
"Springmonte","Atlanta","GA","Private",3,34.1057284,-84.1836298,"No","No","No","Yes","Hard"
"Gazebo Park","Atlanta","GA","Private",1,34.0679473,-84.6580374,"No","No","No","Yes","Hard"
"Oakland Community College - Highland Lakes Campus","Detroit","MI","Public",4,42.618731,-83.4323752,"No","No","No","No","Hard"
"Creston Park","Portland","OR","Public",2,45.4966765,-122.6153398,"Yes","No","No","Yes","Hard"
"Winding Hollow Condominiums","Hartford","CT","Private",1,41.3676945,-72.0540583,"No","No","No","Yes","Hard"
"Cottonwood Apartments","Memphis","TN","Private",2,35.0712506,-89.9078822,"No","No","No","Yes","Hard"
"Woodfield Apartments","Grand Rapids","MI","Private",2,42.8523331,-85.6474936,"No","No","No","No","Hard"
"Sienna Pointe","Los Angeles","CA","Private",2,33.9185683,-117.2580457,"No","No","No","Yes","Hard"
"Fairmont Knolls Park","Los Angeles","CA","Public",2,33.8933153,-117.791537,"No","No","No","No","Hard"
"Laguna de la Paz","Los Angeles","CA","Private",5,33.6964228,-116.2995315,"No","No","No","Yes","Hard"
"Sunflower Mobile Home Resort","Phoenix","AZ","Private",2,33.6332731,-112.3210108,"No","No","No","Yes","Hard"
"Strobridge Elementary School","San Francisco - Oakland - San Jose","CA","Public",2,37.6885156,-122.0868158,"Yes","No","No","No","Hard"
"Isle Cove","San Francisco - Oakland - San Jose","CA","Private",1,37.548771,-122.2799349,"No","No","No","Yes","Hard"
"David Park Tennis Center","Miami-Fort Lauderdale","FL","Public",12,26.013142,-80.1769137,"Yes","No","No","Yes","Clay"
"Tahiti Beach in Cocoplum","Miami-Fort Lauderdale","FL","Private",3,25.7000195,-80.2470374,"No","No","No","No","Clay"
"Pilot Point High School","Dallas - Fort Worth","TX","Public",4,33.4113738,-96.9463098,"No","No","No","Yes","Hard"
"Anderson Park","Houston - Galveston - Brazoria","TX","Public",2,29.7293155,-95.4786372,"No","No","No","Yes","Hard"
